index,category_num,point_num,delta,ans
0,6,15,1.6689026453268587,4
1,6,15,2.0371410215881527,0
2,4,19,2.828525232265615,3
3,9,11,2.712109784947719,8
4,9,14,2.604575034936082,8
5,3,13,2.1453522324503416,0
6,10,17,2.055253749369733,7
7,8,15,2.104640476576498,7
8,2,16,1.717815409121103,1
9,7,19,2.8113953418263344,1
10,9,16,2.1345610202494694,2
11,4,13,1.819822568126649,0
12,7,10,2.9053422841366396,5
13,5,12,2.5588822555186006,4
14,6,15,1.5341533599051536,0
15,6,12,1.6249212673006133,1
16,8,14,1.5317948421674838,1
17,5,20,2.193691577028999,2
18,3,19,2.0874176715054653,1
19,3,18,2.8659409739819406,1
20,3,14,2.239485779416769,2
21,10,17,1.556264553863361,9
22,7,14,2.527893847557656,0
23,9,17,1.6349186273065843,3
24,2,19,3.5800586398642684,1
25,8,17,2.2311952359793237,3
26,4,14,1.960402973275201,0
27,7,13,2.2240959328503167,3
28,8,12,1.5841006196478578,1
29,7,15,2.3982853621043514,0
30,2,20,3.8977237366006783,1
31,9,18,2.088862657612056,7
32,5,19,1.5421426951051806,2
33,4,10,1.8894994641115233,1
34,8,19,2.553487948846142,5
35,3,19,2.681894341743919,1
36,10,18,2.6569364130038364,7
37,7,19,2.0349732224198354,5
38,3,15,2.6474276602597353,2
39,4,10,2.200098823998683,1
40,3,17,1.7513066631037368,1
41,3,15,4.8335511736162005,2
42,3,13,2.5867901107412914,0
43,7,13,2.5722330997757528,6
44,8,15,1.679804372513594,0
